::ffff:127.0.0.1 - - [21/Mar/2024:19:54:45 +0000] "POST /departments/65fb2bc57e5a16f1fc39ee88/personnels HTTP/1.1" 404 187 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [21/Mar/2024:20:45:44 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 200 628 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:46:38 +0000] "GET /documents/swagger/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:46:38 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:46:38 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:46:38 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:46:38 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 200 17749 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:46:38 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:44 +0000] "GET /documents/swagger/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:44 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:44 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:44 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:44 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:44 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:56 +0000] "GET /documents/json HTTP/1.1" 200 14880 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:53:56 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8000/documents/json" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:54:09 +0000] "GET /documents/json HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:58:15 +0000] "GET /documents/redoc HTTP/1.1" 200 672 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:20:58:16 +0000] "GET /documents/json HTTP/1.1" 304 - "http://localhost:8000/documents/redoc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:12:11 +0000] "GET /documents/swagger/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:12:11 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:12:11 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:12:11 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:12:11 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 200 18271 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:12:11 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:45 +0000] "GET /documents/redoc HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:46 +0000] "GET /documents/json HTTP/1.1" 200 17368 "http://localhost:8000/documents/redoc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:51 +0000] "GET /documents/swagger/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:51 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:51 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:51 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 200 20423 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:51 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:16:51 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:20:51 +0000] "GET /documents/swagger/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:20:51 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:20:51 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:20:51 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:20:51 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 200 18533 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:20:51 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:30:18 +0000] "GET /documents/swagger/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:30:18 +0000] "GET /documents/swagger/swagger-ui.css HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:30:18 +0000] "GET /documents/swagger/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:30:18 +0000] "GET /documents/swagger/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:30:18 +0000] "GET /documents/swagger/swagger-ui-init.js HTTP/1.1" 200 19127 "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:21:30:18 +0000] "GET /documents/swagger/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:8000/documents/swagger/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
